dt,AverageTemperature,AverageTemperatureUncertainty,Country
1852-07-01,14.116,1.53,Australia
1852-08-01,15.33,1.4,Australia
1852-09-01,18.74,1.446,Australia
1852-10-01,21.984,1.493,Australia
1852-11-01,24.073,1.466,Australia
1852-12-01,26.888,1.84,Australia
1853-01-01,26.953000000000007,1.393,Australia
1853-02-01,25.905,1.411,Australia
1853-03-01,24.070999999999998,1.5959999999999999,Australia
1853-04-01,20.587,1.473,Australia
1853-05-01,17.230999999999998,1.396,Australia
1853-06-01,14.22,1.5190000000000001,Australia
1853-07-01,14.433,1.34,Australia
1853-08-01,16.168,1.401,Australia
1853-09-01,18.835,1.4340000000000002,Australia
1853-10-01,21.911,1.429,Australia
1853-11-01,24.625,1.6440000000000001,Australia
1853-12-01,26.56,1.48,Australia
1854-01-01,26.809,1.535,Australia
1854-05-01,17.891,1.465,Australia
1854-06-01,14.213,1.392,Australia
1854-07-01,14.510000000000002,1.517,Australia
1854-08-01,16.079,1.479,Australia
1854-09-01,18.653,1.354,Australia
1854-10-01,22.723000000000006,1.531,Australia
1854-11-01,24.822,1.3030000000000002,Australia
1854-12-01,26.863000000000003,1.8430000000000002,Australia
1855-02-01,27.312,1.745,Australia
1855-03-01,24.963,1.496,Australia
1855-04-01,22.462,1.7109999999999999,Australia
1855-05-01,18.276,1.423,Australia
1855-06-01,14.704,1.3880000000000001,Australia
1855-07-01,13.901000000000002,1.331,Australia
1855-08-01,15.723,1.26,Australia
1855-09-01,18.81,1.4380000000000002,Australia
1855-10-01,22.162,1.569,Australia
1855-11-01,24.769,1.36,Australia
1855-12-01,25.703000000000007,2.0709999999999997,Australia
1856-01-01,27.85,1.7380000000000002,Australia
1856-02-01,26.574,1.909,Australia
1856-03-01,25.38,2.21,Australia
1856-04-01,21.631999999999998,1.58,Australia
1856-05-01,17.296,1.652,Australia
1856-06-01,15.046,1.646,Australia
1856-07-01,13.663,1.42,Australia
1856-08-01,15.469,1.6669999999999998,Australia
1856-09-01,18.399,1.649,Australia
1856-10-01,21.584,1.538,Australia
1856-11-01,24.563,1.5630000000000002,Australia
1856-12-01,26.324,1.755,Australia
1857-01-01,26.932,1.5619999999999998,Australia
1857-02-01,27.45,2.231,Australia
1857-03-01,24.348000000000006,1.446,Australia
1857-04-01,20.773000000000003,1.433,Australia
1857-05-01,16.54,1.298,Australia
1857-06-01,14.058,1.278,Australia
1857-07-01,14.018,1.272,Australia
1857-08-01,15.56,1.3869999999999998,Australia
1857-09-01,18.557000000000002,1.421,Australia
1857-10-01,21.447,1.4080000000000001,Australia
1857-11-01,24.595,1.368,Australia
1857-12-01,27.319000000000006,1.442,Australia
1858-01-01,28.915,1.851,Australia
1858-02-01,26.897,1.4409999999999998,Australia
1858-03-01,25.344,1.473,Australia
1858-04-01,21.993,1.5419999999999998,Australia
1858-05-01,17.485,1.365,Australia
1858-06-01,14.359000000000002,1.411,Australia
1858-07-01,13.342,1.386,Australia
1858-08-01,15.374,1.3159999999999998,Australia
1858-09-01,18.215,1.31,Australia
1858-10-01,22.029,1.385,Australia
1858-11-01,25.724,1.5719999999999998,Australia
1858-12-01,26.281,1.526,Australia
1859-01-01,27.374,1.3459999999999999,Australia
1859-02-01,26.533,1.4869999999999999,Australia
1859-03-01,24.896,1.399,Australia
1859-04-01,21.555,1.354,Australia
1859-05-01,17.573999999999998,1.281,Australia
1859-06-01,14.474,1.386,Australia
1859-07-01,13.462000000000002,1.36,Australia
1859-08-01,15.772,1.2770000000000001,Australia
1859-09-01,18.278,1.256,Australia
1859-10-01,22.397,1.399,Australia
